difficulty,is_correct
moderate,True
moderate,True
simple,False
moderate,True
simple,True
simple,True
moderate,False
simple,False
challenging,False
simple,True
moderate,True
moderate,True
simple,True
moderate,True
simple,True
simple,True
simple,False
simple,True
moderate,False
simple,True
simple,True
simple,False
moderate,True
moderate,True
simple,True
simple,True
simple,False
simple,True
simple,True
challenging,True
challenging,True
simple,True
moderate,False
simple,False
moderate,True
moderate,True
simple,True
simple,True
simple,True
simple,False
moderate,True
simple,False
simple,True
moderate,False
moderate,False
challenging,True
simple,True
simple,False
simple,True
simple,True
simple,True
simple,False
moderate,True
moderate,False
simple,True
simple,True
simple,True
simple,True
simple,True
moderate,True
simple,True
simple,True
simple,True
moderate,False
simple,True
challenging,True
simple,True
moderate,True
simple,True
simple,False
simple,False
simple,False
moderate,False
simple,False
simple,False
challenging,True
simple,False
simple,True
moderate,False
simple,True
moderate,True
moderate,True
simple,True
simple,False
moderate,True
simple,True
moderate,True
simple,True
simple,True
simple,True
moderate,True
simple,True
